Country Name,Country Code,Series Name,GDP (current US$),"GDP per capita, PPP (current international $)",GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),"Central government debt, total (% of GDP)",Total reserves (% of total external debt),Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Population, total",Population growth (annual %),Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Tax revenue (% of GDP),Market capitalization of listed domestic companies (% of GDP),Market capitalization of listed domestic companies (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)"
China,CHN,2020 [YR2020],14687700000000.00,17209.44295,10408.71912,2.238638356,16.16815654,2.419421895,0.492493697,18.58613924,0,144.2887714,34.75429578,5.61,1411100000,0.23804087,0,78.077,95.61000061,98.62999725,97.15000153,8.090626234,83.16093995,12214500000000.00,0.604826034,1.72317562,1.046592404
China,CHN,2021 [YR2021],17820500000000.00,19484.30809,12617.50499,8.447478293,17.35801671,0.981015136,4.55328428,19.94397346,0,126.8427536,37.30199017,5.11,1412360000,0.0892522,0,78.211,0,0,0,0,0,0.00,0.647572648,1.930786241,1.003328458
China,CHN,2022 [YR2022],17963200000000.00,21475.61053,12720.21564,2.990804598,17.46681693,1.973575557,2.247260684,20.67700251,0,0,38.14381943,0,1412175000,-0.013099501,0,0,0,0,0,0,0,0.00,0.59230985,1.002979297,0.833329091
France,FRA,1998 [YR1998],1.50311E+12,23357.45829,24971.57449,3.588659425,23.38027481,0.651126868,0.950262691,26.12649198,62.36396883,0,49.50676679,12.07,60192790,0.370907432,0,78.60487805,0,0,0,23.02691923,10.05587194,151151000000.00,1.069104959,1.963825255,3.04044433
France,FRA,1999 [YR1999],1.49315E+12,24304.40453,24678.39106,3.421373799,23.68438521,0.537141639,0.203811155,26.07653539,59.1702064,0,49.7609206,11.98,60504420,0.516384252,0,78.75609756,0,0,0,23.63199403,100.6563333,1502950000000.00,1.015387603,3.07880407,8.400110652
France,FRA,2000 [YR2000],1.36564E+12,26091.84974,22416.42542,3.923669227,27.26627147,1.675959887,1.553290253,28.59497425,58.29925233,0,55.86124572,10.22,60921384,0.686782587,0,79.05609756,0,0,0,23.39182394,105.9308807,1446630000000.00,0.859135157,3.030746972,12.71171207
France,FRA,2001 [YR2001],1.37766E+12,27490.86726,22449.33969,1.983721419,26.69347289,1.634780795,2.008334185,28.2658952,57.81887921,0,54.95936809,8.61,61367388,0.72943079,0,79.15853659,0,0,0,23.37446366,85.26525185,1174660000000.00,0.816610821,3.639660784,6.342139085
France,FRA,2002 [YR2002],1.50141E+12,28518.82522,24288.27002,1.135531482,25.5409745,1.923412287,2.067425741,27.53105026,61.17654987,0,53.07202476,8.7,61816234,0.728746207,0,79.26097561,0,0,0,22.56722859,64.40715444,967015000000.00,0.851657452,3.433472871,3.530178297
France,FRA,2003 [YR2003],1.84454E+12,28168.6181,29627.92426,0.823160757,24.68586455,2.098472191,1.859368244,26.11196897,63.67355424,0,50.79783352,8.31,62256970,0.71044809,0,79.11463415,0,0,0,22.11691419,73.51002512,1355930000000.00,1.051806097,2.296002833,2.851311081
France,FRA,2004 [YR2004],2.11963E+12,29055.35275,33797.16244,2.829752929,25.45617156,2.142089646,1.62267544,26.46883632,64.64241302,0,51.92500788,8.91,62716306,0.735098068,0,80.16341463,0,0,0,22.1629571,73.55563658,1559110000000.00,1.163199178,1.679938591,2.883619054
France,FRA,2005 [YR2005],2.19695E+12,30494.21411,34768.1759,1.66321998,26.94765573,1.745869364,1.936341419,27.03305104,65.61117387,0,53.98070678,8.88,63188395,0.749918325,0,80.16341463,0,0,0,22.29553685,80.04356158,1758510000000.00,1.140156483,3.875247351,5.407391378
